PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,YEAR
Casey Jacobsen,PHX,23,6-6,215,Stanford,USA,2002,1,22,78,6,2.6,1.3,-2.6,2.30%,8.60%,11.60%,57.00%,8.40%,2003
Cezary Trybanski,NYK,24,7-2,240,None,Poland,Undrafted,Undrafted,Undrafted,7,0.1,0.1,0,-50,0.00%,10.00%,23.30%,10.20%,0.00%,2003
Charles Oakley,HOU,40,6-9,245,Virginia Union,USA,1985,1,9,7,1.3,0.7,0.3,9.4,0.00%,20.00%,16.10%,52.10%,10.00%,2003
Charlie Ward,SAS,33,6-2,185,Florida State,USA,1994,1,26,71,6,2,3,-2.4,1.00%,10.50%,18.00%,52.80%,30.30%,2003
Chauncey Billups,DET,27,6-3,202,Colorado,USA,1997,1,3,78,16.9,3.5,5.7,7.3,1.30%,8.70%,22.90%,55.00%,28.90%,2003
Cherokee Parks,GSW,31,6-11,240,Duke,USA,1995,1,12,12,1,0.8,0.1,-14.4,7.10%,10.90%,11.80%,47.50%,3.00%,2003
Chris Andersen,DEN,25,6-10,220,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,71,3.4,4.2,0.5,0.3,8.20%,19.10%,12.60%,48.60%,5.30%,2003
Chris Bosh,TOR,20,6-10,210,Georgia Tech,USA,2003,1,4,75,11.5,7.4,1,-3.2,7.90%,15.20%,18.00%,51.30%,5.60%,2003
Chris Crawford,ATL,29,6-9,235,Marquette,USA,1997,2,50,56,10.2,3.1,0.8,-4.4,4.80%,10.20%,21.10%,54.40%,6.80%,2003
Chris Jefferies,CHI,24,6-8,230,Fresno State,USA,2002,1,27,21,4,1.4,0.3,6.1,2.40%,12.20%,21.40%,52.00%,5.80%,2003
Chris Kaman,LAC,22,7-0,268,Central Michigan,USA,2003,1,6,82,6.1,5.6,1,-5.7,7.00%,18.30%,15.80%,50.20%,7.80%,2003
Chris Mihm,BOS,24,7-0,265,Texas,USA,2000,1,7,76,6.3,5.4,0.3,-2.6,11.90%,19.00%,18.10%,53.10%,2.90%,2003
Chris Webber,SAC,31,6-10,245,Michigan,USA,1993,1,1,23,18.7,8.7,4.6,-0.8,5.80%,18.00%,28.60%,45.60%,22.70%,2003
Chris Whitney,WAS,32,6-0,175,Clemson,USA,1993,2,47,16,2.9,0.9,0.9,-17.9,1.40%,6.80%,12.40%,49.80%,14.60%,2003
Chris Wilcox,LAC,21,6-10,229,Maryland,USA,2002,1,8,65,8.6,4.7,0.8,-3,9.10%,14.00%,18.90%,55.70%,6.70%,2003
Christian Laettner,WAS,34,6-11,245,Duke,USA,1992,1,3,48,5.9,4.8,1.9,-8.3,5.00%,18.80%,14.40%,51.10%,15.50%,2003
Chucky Atkins,BOS,29,5-11,160,South Florida,USA,Undrafted,Undrafted,Undrafted,64,8.4,1.5,3.5,2.3,0.60%,5.30%,18.00%,51.10%,24.80%,2003
Clar. Weatherspoon,HOU,33,6-7,270,Southern Mississippi,USA,1992,1,9,52,5,3.9,0.6,-3.9,9.20%,15.30%,14.80%,53.80%,6.30%,2003
Clifford Robinson,GSW,37,6-10,240,Connecticut,USA,1989,2,36,82,11.8,3.9,3.3,-1.7,1.90%,9.60%,19.20%,47.30%,16.00%,2003
Corey Maggette,LAC,24,6-6,228,Duke,USA,1999,1,13,73,20.7,5.9,3.1,-3.1,3.70%,13.00%,24.80%,58.60%,15.40%,2003
Corie Blount,TOR,35,6-10,242,Cincinnati,USA,1993,1,25,62,4,4.4,0.9,-0.3,9.60%,16.80%,13.20%,46.20%,8.40%,2003
Corliss Williamson,DET,30,6-7,245,Arkansas,USA,1995,1,13,79,9.5,3.2,0.7,6,6.10%,10.80%,23.40%,54.60%,7.20%,2003
Curtis Borchardt,UTA,23,7-0,240,Stanford,USA,2002,1,18,16,3.6,3.4,0.9,-5.7,5.70%,18.00%,14.40%,45.40%,9.70%,2003
Cuttino Mobley,HOU,28,6-4,215,Rhode Island,USA,1998,2,41,80,15.8,4.5,3.2,1.7,1.40%,9.90%,19.70%,53.50%,14.40%,2003
Dahntay Jones,MEM,23,6-6,210,Duke,USA,2003,1,20,20,1.8,1.2,0.6,-13.9,4.50%,10.40%,19.90%,31.10%,13.80%,2003
Dajuan Wagner,CLE,21,6-2,200,Memphis,USA,2002,1,6,44,6.5,1.3,1.2,-6.9,1.20%,6.80%,23.00%,43.90%,13.10%,2003
Dale Davis,POR,35,6-11,252,Clemson,USA,1991,1,13,76,4.4,5.2,0.9,-4.9,9.60%,15.00%,10.30%,50.50%,6.70%,2003
Damon Jones,MIL,27,6-3,185,Houston,USA,Undrafted,Undrafted,Undrafted,82,7,2.1,5.8,0,0.80%,7.70%,14.50%,51.60%,36.30%,2003
Damon Stoudamire,POR,30,5-10,171,Arizona,USA,1995,1,7,82,13.4,3.8,6.1,-2.2,1.70%,8.60%,18.70%,50.80%,26.80%,2003
Damone Brown,NJN,25,6-8,202,Syracuse,USA,2001,2,36,3,1,1.7,0,-89.9,12.50%,15.40%,30.00%,13.80%,0.00%,2003
Dan Dickau,POR,25,6-0,190,Gonzaga,USA,2002,1,28,43,2.2,0.6,0.9,-3.6,2.30%,6.70%,19.30%,45.60%,22.60%,2003
Dan Gadzuric,MIL,26,6-11,240,UCLA,Netherlands,2002,2,33,75,5.7,4.6,0.4,3.3,10.00%,17.90%,15.60%,52.90%,3.70%,2003
Dan Langhi,MIL,26,6-11,220,Vanderbilt,USA,2000,2,31,6,2.2,0.7,0,14,0.00%,12.50%,21.00%,43.70%,0.00%,2003
Dana Barros,BOS,37,5-11,165,Boston College,USA,1989,1,16,1,6,0,0,-68,0.00%,0.00%,14.80%,77.30%,0.00%,2003
Daniel Santiago,MIL,28,7-1,260,St. Vincent,Puerto Rico,Undrafted,Undrafted,Undrafted,54,4,2.4,0.4,2.7,5.20%,14.10%,15.10%,53.60%,5.20%,2003
Danny Fortson,DAL,28,6-8,260,Cincinnati,USA,1997,1,10,56,3.9,4.5,0.2,4.3,17.50%,22.30%,14.60%,60.50%,2.00%,2003
Darius Miles,POR,22,6-9,210,None,USA,2000,1,3,79,10.9,4.5,2.1,-2.7,5.60%,11.60%,21.50%,51.40%,14.20%,2003
Darius Songaila,SAC,26,6-9,248,Wake Forest,Lithuania,2002,2,49,73,4.6,3.1,0.7,6.5,9.50%,13.50%,16.00%,54.10%,7.70%,2003
